FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.257,POINT (-61.3555745 15.2153924),1832943423,,,,,,,
dominica_points.258,POINT (-61.3529405 15.2364175),1832947010,,,,,,,
dominica_points.259,POINT (-61.35492 15.2339488),1832947016,,,,,,,
dominica_points.260,POINT (-61.3531068 15.2364592),1832947019,,,,,,,
dominica_points.261,POINT (-61.3545606 15.2356411),1832947041,,,,,,,
dominica_points.262,POINT (-61.3555316 15.2341455),1832947043,,,,,,,
dominica_points.263,POINT (-61.3552741 15.234197),1832947050,,,,,,,
dominica_points.264,POINT (-61.3522593 15.2329447),1832947055,,,,,,,
dominica_points.265,POINT (-61.3525811 15.2329344),1832947057,,,,,,,
dominica_points.266,POINT (-61.3530639 15.2355068),1832947059,,,,,,,
dominica_points.267,POINT (-61.3571516 15.2365006),1832947061,,,,,,,
dominica_points.268,POINT (-61.3526257 15.2330423),1832947063,,,,,,,
dominica_points.269,POINT (-61.3540295 15.235719),1832947066,,,,,,,
dominica_points.270,POINT (-61.3562826 15.2148124),1832950241,,,,,,,
dominica_points.271,POINT (-61.4153411 15.3886885),1834890746,Tarreau,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.272,POINT (-61.3887647 15.3106036),1834938234,,,,,,,
dominica_points.273,POINT (-61.3831984 15.3071595),1834938240,,,,,,,
dominica_points.274,POINT (-61.3888955 15.3102639),1834938243,,,,,,,
dominica_points.275,POINT (-61.3893089 15.3072143),1834938248,,,,,,,
dominica_points.276,POINT (-61.3886946 15.3100985),1834938283,,,,,,,
dominica_points.277,POINT (-61.3875302 15.3031444),1834938304,,,,,,,
dominica_points.278,POINT (-61.3886463 15.3102899),1834938332,,,,,,,
